Sample ,Retention Time,Area ,Height(microV),
0,2.495,0,0,
40,3,347560,44267,
60,3.001,519270,66566,
80,2.999,684550,89409,
100,3.002,841465,109813,
120,3.003,1011028,128298,
140,3,1192986,157509,
160,3.001,1366217,173219,
180,3,1567269,196140,
200,2.999,1693004,214259,
OBrien,3.007,16967,2151,
2023,2.571,3488,-655,
2024,2.575,1919,-444,
QC,3.008,1632834,209704,
0,2.462,0,0,
