"Sample ID","Type","Conc","WL630.0","Wgt.Factor","Comments"
"Blank","Standard",0.000,0.025,1.000,""
"10","Standard",10.000,0.246,1.000,""
"20","Standard",20.000,0.196,1.000,""
"30","Standard",30.000,0.289,1.000,""
"40","Standard",40.000,0.397,1.000,""
"50","Standard",50.000,0.464,1.000,""
"60","Standard",60.000,0.562,1.000,""
"70","Standard",70.000,0.558,1.000,""
"80","Standard",80.000,0.754,1.000,""
"90","Standard",90.000,0.796,1.000,""
"100","Standard",100.000,0.958,1.000,""
