Lithium (ppb),LiSignal,Sodium (ppm),NaSignal,Potassium (ppm),Potassium Signal
1,0.097,0.1,0.098,0.1,0.096
2,0.199,0.2,0.214,0.2,0.196
3,0.307,0.3,0.348,0.3,0.294
4,0.414,0.4,0.441,0.4,0.394
5,0.503,0.5,0.547,0.5,0.485
6,0.594,0.6,0.647,0.6,0.583
7,0.708,0.7,0.747,0.7,0.699
8,0.82,0.8,0.83,0.8,0.793
9,0.88,0.9,0.919,0.9,0.889
10,1.008,1,0.995,1,0.984
